word,primary_pos,primary_zh,secondary_pos,secondary_zh,keep_secondary,dominance,source_pos_count,source_pos_share
raw,adj.,生的、未加工的、生疏的,n.,擦伤处、半成品,no,0.977,19,0.005
reach,v.,到达、达到、伸出,n.,伸出、延伸、区域,yes,0.874,1599,0.122
ready,adj.,准备好的、备用的、可以使用的,n.,预备好的状态、现款,no,0.989,0,0.000
recall,v.,回想、回忆、召回,n.,回忆、召回、撤消,yes,0.819,433,0.181
recruit,v.,恢复、补充、充实,n.,新兵、新手、新会员,yes,0.963,0,0.000
regret,v.,为...感到遗憾、后悔、惋惜,n.,遗憾、后悔、悔恨,yes,0.748,927,0.250
reign,n.,为王、为君、当政,v.,为王、为君、当政,yes,0.988,0,0.000
relative,adj.,相对的、相关的,n.,亲戚、亲属,yes,0.982,29,0.012
requisite,adj.,必要的、需要的,n.,必需品、要素、必要物品,no,1.000,0,0.000
resistant,adj.,抵抗的、反抗的、耐...的,n.,抵抗者、反抗者,yes,0.749,134,0.251
retail,adj.,零售的,n.,零售,yes,0.818,260,0.084
